SCOPE;TECHNOLOGY;CARRIER AGGREGATION YES/NOT;TARGET ON SCOPE;CITIES ROUTE LINES PLACE (sub-target);AREAS OF INTEREST;TEST MODALITY (N NOMADIC/D DINAMIC);SMARTPHONE MODEL;FIRMWARE VERSION;HANDSET CAPABILITY [THROUGHPUT DL/UL];LAST ACQUISITION TIMING [YYYY_MM];NED MONTH [YYYY_MM];Country;OPERATOR NAME;MCC;MNC;OPCOS;RAN VENDOR;SCENARIO;DatabaseName;Service;Test;Sub-Test;KPI;KPI value;Latitude;Longitude
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTPS;HTTPS UPLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTP;HTTP UPLINK - NUMBER OF ATTEMPTS [N];141.0;45.818823354609926;8.826400056737585
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTP;HTTP UPLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTPS;HTTPS UPLINK - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;Streaming HD Static;Video1;Video1 STATIC YOU TUBE HD -  B2 NUMBERS OF DL REPRODUCTION WITHOUT INTERRUPTIONS ;116.0;45.8203974913793;8.823391146551726
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;Streaming HD Live;Video3;Video3 LIVE YOU TUBE HD - NUMBER OF VIDEO ACCESS ATTEMPTS;48.0;45.8205925;8.81887420833333
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;Streaming HD Live;Video3;Video3 LIVE YOU TUBE HD - NUMBER OF VIDEO FAILURES;0.0;null;null
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF ATTEMPTS [N];286.0;45.818788332167784;8.826056762237757
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;Streaming HD Static;Video2;Video2 STATIC YOU TUBE HD  - B5 AVG  VIDEO RESOLUTION FOR QUALIFIED VIDEOS;900.0633408578783;45.821043102040825;8.81879344897959
