TECHNOLOGY;CITIES ROUTE LINES PLACE (sub-target);AREAS OF INTEREST;OPERATOR NAME;RAN VENDOR;Test;Sub-Test;KPI ID;KPI Name;KPI value;Latitude;Longitude
5G_Cap;VARESE;DRIVE;Iliad;NSN;WB;HTTP;676506;BROWSING - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL NC;HTTP;678004;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;WB;HTTP;676504;BROWSING HTTP - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL NC;HTTP;677501;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL NC;HTTP;677500;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;DL NC;HTTP;77502;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF ERRORS IN RETAINABILITY [N];1.0;45.816663;8.818413
4G;VARESE;DRIVE;Iliad;NSN;DL CE;HTTPS;65500;HTTPS DOWNLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];1.0;45.808473;8.859177
4G;VARESE;DRIVE;Iliad;NSN;Legacy;M2M;67501;MULTIRAB FAILURE  [N];4.0;45.819435;8.823434
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL NC;HTTP;678001;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;WB;HTTPS;77004;HTTPS BROWSING - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL CE;HTTPS;665501;HTTPS DOWNLINK - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;WB;HTTPS;77001;HTTPS BROWSING - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;WB;HTTPS;77006;HTTPS BROWSING - NUMBER OF ERRORS IN RETAINABILITY [N];1.0;45.826597;8.81914
4G;VARESE;DRIVE;Iliad;NSN;Streaming HD Static;Video1;79001;Video1 STATIC YOU TUBE HD - NUMBER OF VIDEO FAILURES;3.0;45.81317099999999;8.823436666666666
4G;VARESE;DRIVE;Iliad;NSN;Streaming HD Static;Video2;79001;Video2 STATIC YOU TUBE HD - NUMBER OF VIDEO FAILURES;1.0;45.807652;8.831034
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL CE;HTTPS;665500;HTTPS DOWNLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
